Sample_ID;Species;Location;Latitude;Longitude;
CC023_sorted;Dioclea_apurensis;N1;-6.027033;-50.276797;
CC046_sorted;Dioclea_apurensis;N8;-6.164267007261515;-50.161016983911395;
CC063_sorted;Dioclea_apurensis;N8;-6.1730229947716;-50.151223987340927;
CC084_sorted;Dioclea_apurensis;N8;-6.17830703034997;-50.147036975249648;
CC111_sorted;Dioclea_apurensis;N1;-6.047322023659945;-50.284733036532998;
CC127_sorted;Dioclea_apurensis;S11A;-6.333714;-50.449802;
CC143_sorted;Dioclea_apurensis;S11A;-6.349831;-50.448002;
CC159_sorted;Dioclea_apurensis;S11A;-6.344728;-50.429637;
CC175_sorted;Dioclea_apurensis;S11B/C;-6.343562;-50.413247;
CC191_sorted;Dioclea_apurensis;S11B/C;-6.350784;-50.398349;
CC207_sorted;Dioclea_apurensis;S11B/C;-6.372816;-50.384798;
CC223_sorted;Dioclea_apurensis;S11C;-6.393909;-50.374612;
CC032_sorted;Dioclea_apurensis;N8;-6.162789026275277;-50.164376031607389;
CC049_sorted;Dioclea_apurensis;N8;-6.164400028064847;-50.16143498942256;
CC065_sorted;Dioclea_apurensis;N8;-6.18256201967597;-50.138715002685785;
CC113_sorted;Dioclea_apurensis;N1;-6.042099008336663;-50.271115964278579;
CC129_sorted;Dioclea_apurensis;S11A;-6.334599;-50.449687;
CC145_sorted;Dioclea_apurensis;S11A;-6.349854;-50.442534;
CC161_sorted;Dioclea_apurensis;S11A;-6.344095;-50.429017;
CC177_sorted;Dioclea_apurensis;S11B/C;-6.342724;-50.413257;
CC193_sorted;Dioclea_apurensis;S11B/C;-6.353773;-50.391948;
CC209_sorted;Dioclea_apurensis;S11B/C;-6.373888;-50.383978;
CC225_sorted;Dioclea_apurensis;S11C;-6.395213;-50.373488;
CC034_sorted;Dioclea_apurensis;N8;-6.163245001807809;-50.164026003330946;
CC051_sorted;Dioclea_apurensis;N8;-6.167083997279406;-50.158688994124532;
CC069_sorted;Dioclea_apurensis;N8;-6.182372001931071;-50.138548035174608;
CC092_sorted;Dioclea_apurensis;N1;-6.006940025836229;-50.29767201282084;
CC115_sorted;Dioclea_apurensis;S11A;-6.321683;-50.450694;
CC131_sorted;Dioclea_apurensis;S11A;-6.335656;-50.449296;
CC147_sorted;Dioclea_apurensis;S11A;-6.349718;-50.441144;
CC163_sorted;Dioclea_apurensis;S11B/C;-6.343457;-50.425238;
CC179_sorted;Dioclea_apurensis;S11B/C;-6.343823;-50.412095;
CC195_sorted;Dioclea_apurensis;S11B/C;-6.354446;-50.391452;
CC211_sorted;Dioclea_apurensis;S11B/C;-6.381468;-50.384254;
CC227_sorted;Dioclea_apurensis;S11C;-6.396087;-50.373959;
CC036_sorted;Dioclea_apurensis;N8;-6.163260005414486;-50.164547022432089;
CC053_sorted;Dioclea_apurensis;N8;-6.166863972321153;-50.158354975283146;
CC071_sorted;Dioclea_apurensis;N8;-6.180663015693426;-50.142268007621169;
CC093_sorted;Dioclea_apurensis;N1;-6.016214014962316;-50.302830990403891;
CC117_sorted;Dioclea_apurensis;S11A;-6.321460;-50.449948;
CC133_sorted;Dioclea_apurensis;S11A;-6.339639;-50.449034;
CC149_sorted;Dioclea_apurensis;S11A;-6.350548;-50.439282;
CC165_sorted;Dioclea_apurensis;S11B/C;-6.341724;-50.425754;
CC181_sorted;Dioclea_apurensis;S11B/C;-6.345369;-50.406935;
CC197_sorted;Dioclea_apurensis;S11B/C;-6.355240;-50.390884;
CC213_sorted;Dioclea_apurensis;S11B/C;-6.382208;-50.385039;
CC229_sorted;Dioclea_apurensis;S11C;-6.392638;-50.368117;
CC038_sorted;Dioclea_apurensis;N8;-6.164069026708603;-50.16341001726687;
CC055_sorted;Dioclea_apurensis;N8;-6.166424006223679;-50.15758995898068;
CC073_sorted;Dioclea_apurensis;N8;-6.181435994803906;-50.141570968553424;
CC103_sorted;Dioclea_apurensis;N1;-6.027510976418853;-50.289449030533433;
CC119_sorted;Dioclea_apurensis;S11A;-6.322900;-50.450742;
CC135_sorted;Dioclea_apurensis;S11A;-6.341319;-50.449170;
CC151_sorted;Dioclea_apurensis;S11A;-6.348717;-50.435615;
CC167_sorted;Dioclea_apurensis;S11B/C;-6.342307;-50.424364;
CC183_sorted;Dioclea_apurensis;S11B/C;-6.346211;-50.406191;
CC199_sorted;Dioclea_apurensis;S11B/C;-6.365166;-50.386923;
CC215_sorted;Dioclea_apurensis;S11B/C;-6.383646;-50.385272;
CC231_sorted;Dioclea_apurensis;S11C;-6.393038;-50.367077;
CC040_sorted;Dioclea_apurensis;N8;-6.164476973935962;-50.163327036425471;
CC057_sorted;Dioclea_apurensis;N8;-6.166845029219985;-50.156867019832134;
